country,Genre
Russia,"Science & Nature TV,Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Thrillers,International TV Shows,TV Comedies,Action & Adventure,Korean TV Shows,Dramas,TV Dramas,Romantic TV Shows,International Movies,Horror Movies,Children & Family Movies,Docuseries,TV Mysteries,TV Action & Adventure,Kids' TV"
Samoa,"Documentaries,Sports Movies"
Saudi Arabia,"TV Shows,Sports Movies,International TV Shows,Independent Movies,TV Comedies,Comedies,Dramas,Romantic Movies,TV Dramas,International Movies"
Senegal,"Crime TV Shows,Documentaries,International TV Shows,Independent Movies,Dramas,TV Dramas,International Movies"
Serbia,"Horror Movies,Documentaries,Sci-Fi & Fantasy,Thrillers,Independent Movies,Action & Adventure,Dramas,International Movies"
Singapore,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Thrillers,International TV Shows,TV Horror,Independent Movies,TV Sci-Fi & Fantasy,Action & Adventure,Korean TV Shows,TV Comedies,Dramas,TV Dramas,Romantic Movies,International Movies,Romantic TV Shows,Horror Movies,Reality TV,Cult Movies,Stand-Up Comedy,Kids' TV"
Slovakia,"Dramas,International Movies"
Slovenia,"Horror Movies,Sci-Fi & Fantasy,Independent Movies,Comedies,Dramas,International Movies"
Somalia,Dramas
South Africa,"Faith & Spirituality,British TV Shows,Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Thrillers,International TV Shows,Independent Movies,TV Comedies,Action & Adventure,Music & Musicals,Dramas,Romantic Movies,TV Dramas,International Movies,Romantic TV Shows,Horror Movies,Docuseries,TV Mysteries,Comedies,TV Action & Adventure"
South Korea,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Independent Movies,TV Comedies,Music & Musicals,TV Thrillers,Stand-Up Comedy & Talk Shows,TV Dramas,Romantic Movies,Children & Family Movies,Cult Movies,Stand-Up Comedy,Comedies,Kids' TV,Movies,Thrillers,International TV Shows,TV Horror,Action & Adventure,Korean TV Shows,Romantic TV Shows,Dramas,International Movies,Horror Movies,Reality TV,TV Mysteries,TV Action & Adventure"
Soviet Union,"Sci-Fi & Fantasy,Action & Adventure,Music & Musicals,Dramas,Romantic Movies,International Movies"
Spain,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Independent Movies,TV Comedies,Music & Musicals,Romantic Movies,TV Dramas,Children & Family Movies,Comedies,Kids' TV,Movies,Faith & Spirituality,Science & Nature TV,British TV Shows,Anime Series,Thrillers,International TV Shows,Spanish-Language TV Shows,Classic Movies,Action & Adventure,Dramas,Romantic TV Shows,International Movies,Horror Movies,Reality TV,Docuseries,Teen TV Shows,LGBTQ Movies,TV Action & Adventure"
Sri Lanka,"Documentaries,International Movies"
Sudan,Dramas
Sweden,"Crime TV Shows,Documentaries,Sports Movies,Thrillers,International TV Shows,Independent Movies,TV Comedies,Action & Adventure,Music & Musicals,TV Thrillers,Dramas,Romantic Movies,TV Dramas,International Movies,Romantic TV Shows,Cult Movies,Stand-Up Comedy,Comedies,Kids' TV"
Switzerland,"Faith & Spirituality,Children & Family Movies,Documentaries,Sci-Fi & Fantasy,Thrillers,International TV Shows,Independent Movies,TV Comedies,Action & Adventure,Comedies,Dramas,TV Dramas,International Movies"
Syria,"International TV Shows,TV Dramas"
Taiwan,"Crime TV Shows,Documentaries,Sports Movies,Thrillers,International TV Shows,TV Horror,Independent Movies,TV Comedies,Action & Adventure,TV Sci-Fi & Fantasy,Music & Musicals,TV Thrillers,Romantic TV Shows,TV Dramas,Romantic Movies,International Movies,Dramas,Horror Movies,Reality TV,Teen TV Shows,TV Mysteries,LGBTQ Movies,Comedies,TV Action & Adventure"
